entity,date,title,url,domain,related
OpenAI,2024-09-26,OpenAI CTO Murati resigns as ChatGPT - maker restructures,https://www.siliconrepublic.com/business/openai-cto-resignation,siliconrepublic.com,1
OpenAI,2025-01-27,Tech Stocks Fall Sharply After Chinese DeepSeek AI Revealed,https://wwnc.iheart.com/content/2025-01-27-tech-stocks-fall-sharply-after-chinese-deepseek-ai-revealed/,wwnc.iheart.com,0
OpenAI,2025-05-05,OpenAI scraps controversial plan to become for - profit after mounting pressure,https://arstechnica.com/ai/2025/05/openai-scraps-controversial-plan-to-become-for-profit-after-mounting-pressure/,arstechnica.com,0
OpenAI,2025-09-14,"Microsoft secures access as OpenAI moves to restructure , raise billions",http://www.britainnews.net/news/278571917/microsoft-secures-access-as-openai-moves-to-restructure-raise-billions,britainnews.net,0
OpenAI,2025-10-29,Microsoft earnings suggest $11 . 5B OpenAI quarterly loss,https://www.theregister.com/2025/10/29/microsoft_earnings_q1_26_openai_loss/,theregister.com,1
OpenAI,2025-11-29,OpenAI projects major jump in paid ChatGPT users by 2030,http://www.azerbaijannews.net/news/278724461/openai-projects-major-jump-in-paid-chatgpt-users-by-2030,azerbaijannews.net,0
OpenAI,2025-12-20,OpenAI CEO Sam Altman on IPO plans : Zero per cent excited to lead a public company,https://timesofindia.indiatimes.com/technology/tech-news/openai-ceo-sam-altman-on-ipo-plans-zero-per-cent-excited-to-lead-a-public-company/articleshow/126082220.cms,timesofindia.indiatimes.com,0
OpenAI,2026-01-19,Elon Musk Seeks $134 Billion in Damages from OpenAI and Microsoft in Legal Battle,https://www.breitbart.com/tech/2026/01/19/elon-musk-seeks-134-billion-in-damages-from-openai-and-microsoft-in-legal-battle/,breitbart.com,1
OpenAI,2026-01-27,"OpenAI Is Too Big To Fail , And That The Point",https://cointelegraph.com/news/openai-too-big-to-fail,cointelegraph.com,0
Anthropic,2026-02-06,Anthropic AI plug - ins shake India staffing - intensive IT sector ; stocks dive 6 %,https://finance.yahoo.com/news/anthropics-ai-plug-ins-shake-051740337.html,finance.yahoo.com,0
OpenAI,2026-04-24,"SpaceX , OpenAI , Anthropic IPOs test investor risk appetite",http://www.californiatelegraph.com/news/279007472/spacex-openai-anthropic-ipos-test-investor-risk-appetite,californiatelegraph.com,0
Anthropic,2026-04-24,"SpaceX , OpenAI , Anthropic IPOs test investor risk appetite",http://www.californiatelegraph.com/news/279007472/spacex-openai-anthropic-ipos-test-investor-risk-appetite,californiatelegraph.com,0
OpenAI,2026-05-18,Musk v . OpenAI Jury Begins Deliberating ; Standing Hurdle Could End Case Before Altman Removal Hearings,https://www.ibtimes.com/musk-v-openai-jury-begins-deliberating-standing-hurdle-could-end-case-before-altman-removal-3802979,ibtimes.com,1
Anthropic,2026-07-05,Yann LeCun Warns of AI Bubble Amid xAI Financial Losses,https://www.geeky-gadgets.com/xai-loses-all-co-founders/,geeky-gadgets.com,0
