# Monthly IPO stats authored from Jay R. Ritter's IPOALL.xlsx (IPO Data),
# https://site.warrington.ufl.edu/ritter/ipo-data/ , retrieved 2026-07-08
# (file dated 2026-01-19, data through 2025-12). Returns use Ritter's net IPO
# definition (excludes SPACs, penny stocks, units, closed-end funds, ADRs,
# banks/S&Ls). Refreshed manually ~annually when Ritter updates. Cite: Ritter,
# Jay R., 'Initial Public Offerings: Updated Statistics', Univ. of Florida.
month,avg_first_day_return,ipo_count_gross,ipo_count_net
1990-01-01,8.0,12,4
1990-02-01,8.7,13,8
1990-03-01,8.8,19,13
1990-04-01,8.9,22,17
1990-05-01,17.4,19,14
1990-06-01,16.8,22,16
1990-07-01,9.5,24,19
1990-08-01,6.3,15,9
1990-09-01,5.7,7,5
1990-10-01,0.6,4,2
1990-11-01,,5,0
1990-12-01,14.5,10,3
1991-01-01,26.5,4,2
1991-02-01,23.0,7,5
1991-03-01,15.5,18,14
1991-04-01,16.1,28,20
1991-05-01,8.0,28,24
1991-06-01,6.8,47,40
1991-07-01,6.4,38,31
1991-08-01,12.1,35,28
1991-09-01,17.2,23,17
1991-10-01,14.3,46,37
1991-11-01,14.4,51,37
1991-12-01,10.7,42,32
1992-01-01,18.1,42,32
1992-02-01,16.1,46,38
1992-03-01,11.0,67,57
1992-04-01,3.3,45,37
1992-05-01,4.5,48,40
1992-06-01,3.2,44,37
1992-07-01,5.4,34,26
1992-08-01,4.6,36,31
1992-09-01,10.0,22,16
1992-10-01,12.6,51,42
1992-11-01,22.2,27,18
1992-12-01,16.7,47,37
1993-01-01,11.2,22,19
1993-02-01,18.3,36,30
1993-03-01,12.9,62,57
1993-04-01,14.2,31,25
1993-05-01,9.5,48,33
1993-06-01,14.4,57,45
1993-07-01,12.0,58,48
1993-08-01,12.6,54,46
1993-09-01,18.9,47,36
1993-10-01,14.1,58,48
1993-11-01,10.1,78,61
1993-12-01,8.9,76,61
1994-01-01,9.8,26,22
1994-02-01,13.8,62,49
1994-03-01,8.4,61,46
1994-04-01,7.3,48,34
1994-05-01,6.7,71,49
1994-06-01,7.5,53,39
1994-07-01,6.5,41,22
1994-08-01,6.6,43,29
1994-09-01,18.7,37,28
1994-10-01,11.0,46,31
1994-11-01,11.8,44,30
1994-12-01,10.3,36,24
1995-01-01,9.2,18,10
1995-02-01,20.9,37,25
1995-03-01,22.9,29,26
1995-04-01,20.7,31,24
1995-05-01,25.8,35,29
1995-06-01,18.9,55,49
1995-07-01,22.3,50,43
1995-08-01,27.6,53,37
1995-09-01,18.9,35,32
1995-10-01,11.1,62,50
1995-11-01,28.6,84,69
1995-12-01,19.3,77,63
1996-01-01,22.5,29,22
1996-02-01,19.8,65,58
1996-03-01,17.7,73,61
1996-04-01,27.9,67,53
1996-05-01,28.8,94,76
1996-06-01,14.7,87,73
1996-07-01,11.0,66,49
1996-08-01,8.9,58,51
1996-09-01,20.6,59,46
1996-10-01,11.5,106,90
1996-11-01,12.2,81,60
1996-12-01,12.1,60,36
1997-01-01,12.7,35,26
1997-02-01,12.3,62,48
1997-03-01,10.0,39,29
1997-04-01,7.8,33,22
1997-05-01,16.9,43,28
1997-06-01,14.8,63,53
1997-07-01,18.0,55,44
1997-08-01,15.9,48,35
1997-09-01,23.9,54,39
1997-10-01,20.3,65,55
1997-11-01,6.9,80,64
1997-12-01,6.0,35,30
1998-01-01,11.1,21,13
1998-02-01,15.6,51,40
1998-03-01,18.5,41,29
1998-04-01,22.7,42,34
1998-05-01,12.1,51,37
1998-06-01,9.3,61,47
1998-07-01,16.8,50,38
1998-08-01,14.2,20,17
1998-09-01,163.2,7,1
1998-10-01,22.8,6,2
1998-11-01,90.6,19,11
1998-12-01,79.4,23,14
1999-01-01,121.4,26,9
1999-02-01,57.4,36,30
1999-03-01,95.0,22,19
1999-04-01,75.2,37,33
1999-05-01,53.0,55,49
1999-06-01,37.1,60,52
1999-07-01,61.7,64,60
1999-08-01,40.9,40,38
1999-09-01,77.8,43,40
1999-10-01,73.5,62,56
1999-11-01,101.8,58,51
1999-12-01,115.3,41,39
2000-01-01,92.3,15,13
2000-02-01,113.2,60,58
2000-03-01,85.7,60,52
2000-04-01,30.5,37,34
2000-05-01,32.8,23,21
2000-06-01,44.6,36,31
2000-07-01,58.4,46,41
2000-08-01,30.3,65,63
2000-09-01,41.4,25,24
2000-10-01,18.7,26,19
2000-11-01,15.8,22,18
2000-12-01,25.4,9,7
2001-01-01,18.6,10,3
2001-02-01,5.7,10,7
2001-03-01,5.7,15,9
2001-04-01,11.3,4,2
2001-05-01,25.4,12,8
2001-06-01,10.1,16,14
2001-07-01,14.4,15,7
2001-08-01,8.1,5,4
2001-09-01,,6,0
2001-10-01,14.8,10,7
2001-11-01,15.3,16,9
2001-12-01,17.3,13,10
2002-01-01,7.8,6,3
2002-02-01,19.8,9,5
2002-03-01,7.2,15,6
2002-04-01,8.8,14,7
2002-05-01,8.9,18,14
2002-06-01,6.2,17,10
2002-07-01,2.9,12,5
2002-08-01,,7,0
2002-09-01,,9,0
2002-10-01,1.9,20,6
2002-11-01,6.7,23,7
2002-12-01,14.6,10,3
2003-01-01,,1,0
2003-02-01,-3.3,6,3
2003-03-01,,4,0
2003-04-01,,3,0
2003-05-01,31.4,5,1
2003-06-01,25.6,10,1
2003-07-01,22.5,16,8
2003-08-01,17.9,11,2
2003-09-01,10.6,13,6
2003-10-01,11.7,15,11
2003-11-01,9.0,20,15
2003-12-01,9.3,28,16
2004-01-01,28.0,11,3
2004-02-01,14.9,26,16
2004-03-01,5.4,22,9
2004-04-01,25.0,19,11
2004-05-01,9.2,20,13
2004-06-01,9.7,32,23
2004-07-01,5.2,34,22
2004-08-01,0.5,22,11
2004-09-01,12.8,20,10
2004-10-01,14.9,40,21
2004-11-01,18.6,21,12
2004-12-01,15.6,36,23
2005-01-01,12.2,14,8
2005-02-01,5.6,32,20
2005-03-01,16.5,13,7
2005-04-01,6.2,13,7
2005-05-01,5.4,21,10
2005-06-01,7.9,34,17
2005-07-01,15.3,29,14
2005-08-01,10.4,37,25
2005-09-01,4.5,20,14
2005-10-01,13.2,23,12
2005-11-01,20.8,21,15
2005-12-01,6.2,23,12
2006-01-01,18.7,16,10
2006-02-01,9.5,23,16
2006-03-01,12.8,14,7
2006-04-01,6.3,19,12
2006-05-01,7.0,17,13
2006-06-01,8.2,26,17
2006-07-01,0.4,17,5
2006-08-01,10.0,10,5
2006-09-01,15.6,18,8
2006-10-01,16.6,25,17
2006-11-01,10.5,32,26
2006-12-01,20.4,38,21
2007-01-01,11.8,18,8
2007-02-01,17.2,23,14
2007-03-01,10.1,21,12
2007-04-01,8.4,13,8
2007-05-01,5.2,28,26
2007-06-01,17.4,20,14
2007-07-01,12.1,19,15
2007-08-01,14.8,17,12
2007-09-01,56.0,5,2
2007-10-01,25.9,23,15
2007-11-01,12.0,39,21
2007-12-01,18.0,23,12
2008-01-01,21.2,14,3
2008-02-01,-3.7,8,3
2008-03-01,16.7,5,3
2008-04-01,26.7,5,2
2008-05-01,-1.0,7,4
2008-06-01,-7.4,5,2
2008-07-01,8.9,4,2
2008-08-01,-19.9,5,1
2008-09-01,,0,0
2008-10-01,,0,0
2008-11-01,-1.2,1,1
2008-12-01,,0,0
2009-01-01,,1,0
2009-02-01,10.1,2,1
2009-03-01,,2,0
2009-04-01,22.6,7,2
2009-05-01,27.5,4,3
2009-06-01,23.3,8,2
2009-07-01,,4,0
2009-08-01,6.2,5,3
2009-09-01,13.8,12,5
2009-10-01,0.3,13,11
2009-11-01,12.2,11,10
2009-12-01,1.8,7,4
2010-01-01,-3.5,12,3
2010-02-01,0.9,8,5
2010-03-01,12.5,15,12
2010-04-01,2.1,16,9
2010-05-01,8.3,14,7
2010-06-01,6.9,15,9
2010-07-01,12.3,15,7
2010-08-01,14.1,16,8
2010-09-01,11.5,15,4
2010-10-01,11.6,25,10
2010-11-01,10.5,26,11
2010-12-01,8.7,20,11
2011-01-01,15.1,16,4
2011-02-01,8.4,21,14
2011-03-01,11.7,13,6
2011-04-01,16.8,22,8
2011-05-01,14.1,29,12
2011-06-01,8.8,18,6
2011-07-01,27.6,17,11
2011-08-01,30.0,5,1
2011-09-01,,3,0
2011-10-01,17.9,8,2
2011-11-01,8.7,18,11
2011-12-01,1.8,10,6
2012-01-01,9.1,6,4
2012-02-01,20.0,20,16
2012-03-01,24.6,24,17
2012-04-01,17.8,20,12
2012-05-01,14.9,13,6
2012-06-01,12.3,8,3
2012-07-01,15.9,19,9
2012-08-01,14.9,11,6
2012-09-01,29.6,10,2
2012-10-01,14.2,28,14
2012-11-01,2.4,12,3
2012-12-01,24.2,8,2
2013-01-01,17.8,13,7
2013-02-01,32.3,10,4
2013-03-01,13.9,17,9
2013-04-01,13.6,16,10
2013-05-01,17.0,31,17
2013-06-01,19.3,25,18
2013-07-01,19.3,23,15
2013-08-01,20.7,16,12
2013-09-01,30.1,24,18
2013-10-01,24.1,33,19
2013-11-01,20.8,31,20
2013-12-01,24.1,13,9
2014-01-01,27.6,19,15
2014-02-01,9.4,23,20
2014-03-01,28.8,32,23
2014-04-01,10.4,28,19
2014-05-01,10.5,23,12
2014-06-01,13.3,32,23
2014-07-01,12.3,37,27
2014-08-01,11.4,14,7
2014-09-01,22.2,17,11
2014-10-01,5.2,36,20
2014-11-01,15.7,28,17
2014-12-01,23.6,16,12
2015-01-01,30.1,14,10
2015-02-01,-6.0,12,5
2015-03-01,4.5,10,4
2015-04-01,30.3,17,13
2015-05-01,6.3,23,12
2015-06-01,29.3,30,24
2015-07-01,24.6,23,15
2015-08-01,19.4,10,8
2015-09-01,38.0,7,2
2015-10-01,3.6,20,15
2015-11-01,13.3,14,9
2015-12-01,32.3,2,1
2016-01-01,,0,0
2016-02-01,-4.3,5,3
2016-03-01,-2.5,4,2
2016-04-01,7.0,8,5
2016-05-01,8.9,19,11
2016-06-01,32.0,9,6
2016-07-01,11.5,11,8
2016-08-01,3.0,8,6
2016-09-01,46.0,17,10
2016-10-01,9.5,21,18
2016-11-01,-0.1,3,1
2016-12-01,9.9,8,5
2017-01-01,5.1,10,7
2017-02-01,1.9,8,3
2017-03-01,15.5,14,10
2017-04-01,12.2,20,14
2017-05-01,3.4,19,11
2017-06-01,7.6,23,10
2017-07-01,28.3,15,7
2017-08-01,-4.9,8,5
2017-09-01,24.9,19,6
2017-10-01,36.5,22,10
2017-11-01,9.2,32,17
2017-12-01,7.2,12,6
2018-01-01,27.6,20,12
2018-02-01,-2.9,19,11
2018-03-01,22.7,17,7
2018-04-01,29.7,13,9
2018-05-01,10.4,23,13
2018-06-01,22.6,36,24
2018-07-01,21.5,25,14
2018-08-01,11.4,15,6
2018-09-01,26.1,24,13
2018-10-01,21.3,27,18
2018-11-01,0.9,11,4
2018-12-01,-1.4,9,3
2019-01-01,-6.6,8,1
2019-02-01,3.3,20,8
2019-03-01,30.6,13,4
2019-04-01,29.3,18,13
2019-05-01,20.9,33,16
2019-06-01,38.8,24,18
2019-07-01,22.8,24,12
2019-08-01,12.8,10,4
2019-09-01,21.2,15,12
2019-10-01,8.8,20,13
2019-11-01,13.1,28,5
2019-12-01,53.4,13,6
2020-01-01,45.0,13,6
2020-02-01,24.9,20,8
2020-03-01,-8.9,5,2
2020-04-01,38.5,9,3
2020-05-01,35.4,17,6
2020-06-01,36.7,36,20
2020-07-01,44.5,46,24
2020-08-01,61.9,46,15
2020-09-01,33.4,65,22
2020-10-01,18.2,92,31
2020-11-01,38.5,42,7
2020-12-01,84.7,73,21
2021-01-01,37.8,119,19
2021-02-01,32.3,131,25
2021-03-01,21.3,151,30
2021-04-01,37.9,48,30
2021-05-01,34.9,43,16
2021-06-01,37.7,79,42
2021-07-01,24.4,98,55
2021-08-01,23.4,40,4
2021-09-01,33.7,53,21
2021-10-01,10.0,101,35
2021-11-01,70.7,92,26
2021-12-01,19.4,63,6
2022-01-01,3.4,37,5
2022-02-01,87.9,34,6
2022-03-01,2.7,14,1
2022-04-01,159.2,17,5
2022-05-01,6.4,15,3
2022-06-01,61.9,9,3
2022-07-01,126.6,4,2
2022-08-01,19.4,19,5
2022-09-01,-9.0,11,3
2022-10-01,14.2,6,2
2022-11-01,-10.9,5,2
2022-12-01,-18.1,7,1
2023-01-01,0.3,8,5
2023-02-01,4.4,14,3
2023-03-01,1.6,18,3
2023-04-01,143.0,15,4
2023-05-01,21.3,9,3
2023-06-01,16.7,9,7
2023-07-01,12.0,14,5
2023-08-01,-6.2,12,6
2023-09-01,3.3,17,6
2023-10-01,-12.2,15,4
2023-11-01,-15.7,15,8
2023-12-01,,7,0
2024-01-01,30.9,11,5
2024-02-01,-3.3,15,9
2024-03-01,7.0,12,6
2024-04-01,18.2,21,8
2024-05-01,8.7,13,5
2024-06-01,7.4,15,6
2024-07-01,12.0,18,5
2024-08-01,31.8,18,3
2024-09-01,6.7,24,8
2024-10-01,11.1,35,10
2024-11-01,0.3,19,4
2024-12-01,127.4,20,3
2025-01-01,14.3,27,7
2025-02-01,11.8,29,8
2025-03-01,147.1,19,5
2025-04-01,126.1,33,1
2025-05-01,19.5,35,7
2025-06-01,53.0,26,12
2025-07-01,24.1,37,10
2025-08-01,27.2,28,7
2025-09-01,14.6,31,11
2025-10-01,5.2,35,9
2025-11-01,15.9,19,6
2025-12-01,10.6,33,7
